trailer_id: TRL00001, trailer_number: 4290, trailer_type: Refrigerated, length_feet: 53, model_year: 2016, vin: 1AV889081755621178, acquisition_date: 2018-05-11, status: Active, current_location: Kansas City
trailer_id: TRL00149, trailer_number: 7116, trailer_type: Dry Van, length_feet: 53, model_year: 2024, vin: 1CU826831323933057, acquisition_date: 2015-05-23, status: Active, current_location: Las Vegas
trailer_id: TRL00150, trailer_number: 3316, trailer_type: Refrigerated, length_feet: 53, model_year: 2018, vin: 1AT338003214898910, acquisition_date: 2016-05-06, status: Active, current_location: Nashville
trailer_id: TRL00151, trailer_number: 9369, trailer_type: Refrigerated, length_feet: 53, model_year: 2022, vin: 1BV955112889505689, acquisition_date: 2020-02-09, status: Active, current_location: Oklahoma City
trailer_id: TRL00152, trailer_number: 7364, trailer_type: Dry Van, length_feet: 53, model_year: 2020, vin: 1CU163285574382118, acquisition_date: 2020-08-15, status: Active, current_location: Houston
trailer_id: TRL00153, trailer_number: 7852, trailer_type: Dry Van, length_feet: 53, model_year: 2024, vin: 1CT450293519517188, acquisition_date: 2017-11-22, status: Active, current_location: Charlotte
trailer_id: TRL00154, trailer_number: 3258, trailer_type: Refrigerated, length_feet: 53, model_year: 2022, vin: 1CV252726474604472, acquisition_date: 2021-08-01, status: Active, current_location: Denver
trailer_id: TRL00155, trailer_number: 7286, trailer_type: Refrigerated, length_feet: 53, model_year: 2018, vin: 1CV295610114860419, acquisition_date: 2017-10-18, status: Active, current_location: Nashville
trailer_id: TRL00156, trailer_number: 7931, trailer_type: Dry Van, length_feet: 53, model_year: 2023, vin: 1AT164883370760861, acquisition_date: 2019-02-19, status: Active, current_location: Nashville
trailer_id: TRL00157, trailer_number: 4043, trailer_type: Dry Van, length_feet: 53, model_year: 2018, vin: 1AT156923162006005, acquisition_date: 2016-01-03, status: Active, current_location: Salt Lake City
trailer_id: TRL00158, trailer_number: 8973, trailer_type: Dry Van, length_feet: 53, model_year: 2017, vin: 1BV408469701335979, acquisition_date: 2015-01-06, status: Active, current_location: Portland
trailer_id: TRL00159, trailer_number: 9804, trailer_type: Dry Van, length_feet: 53, model_year: 2015, vin: 1BU546919286453847, acquisition_date: 2021-06-16, status: Active, current_location: New York
trailer_id: TRL00160, trailer_number: 3838, trailer_type: Dry Van, length_feet: 53, model_year: 2021, vin: 1CT134409908629866, acquisition_date: 2015-05-06, status: Active, current_location: Columbus
trailer_id: TRL00161, trailer_number: 3733, trailer_type: Refrigerated, length_feet: 53, model_year: 2015, vin: 1AU768831586525357, acquisition_date: 2021-06-19, status: Active, current_location: Kansas City
trailer_id: TRL00162, trailer_number: 9022, trailer_type: Refrigerated, length_feet: 53, model_year: 2018, vin: 1BT760769871903108, acquisition_date: 2020-10-16, status: Active, current_location: Chicago
trailer_id: TRL00163, trailer_number: 5732, trailer_type: Refrigerated, length_feet: 53, model_year: 2023, vin: 1CU284100956713970, acquisition_date: 2021-10-13, status: Active, current_location: Atlanta
trailer_id: TRL00164, trailer_number: 3298, trailer_type: Refrigerated, length_feet: 53, model_year: 2020, vin: 1BV875580172937423, acquisition_date: 2021-06-18, status: Active, current_location: Salt Lake City
trailer_id: TRL00165, trailer_number: 4065, trailer_type: Dry Van, length_feet: 53, model_year: 2015, vin: 1AU535230628839106, acquisition_date: 2020-09-14, status: Active, current_location: Phoenix
trailer_id: TRL00166, trailer_number: 6154, trailer_type: Dry Van, length_feet: 53, model_year: 2020, vin: 1AT744308891076800, acquisition_date: 2017-04-30, status: Active, current_location: Indianapolis
trailer_id: TRL00167, trailer_number: 8389, trailer_type: Refrigerated, length_feet: 53, model_year: 2015, vin: 1AT353453095579728, acquisition_date: 2017-01-08, status: Active, current_location: Charlotte
trailer_id: TRL00168, trailer_number: 1878, trailer_type: Dry Van, length_feet: 53, model_year: 2021, vin: 1CT833620224567627, acquisition_date: 2017-09-27, status: Active, current_location: Charlotte
trailer_id: TRL00169, trailer_number: 6882, trailer_type: Dry Van, length_feet: 53, model_year: 2019, vin: 1BV868089478112638, acquisition_date: 2020-08-13, status: Active, current_location: Phoenix
trailer_id: TRL00170, trailer_number: 1157, trailer_type: Refrigerated, length_feet: 53, model_year: 2016, vin: 1AU248974855590783, acquisition_date: 2015-11-13, status: Active, current_location: Dallas
trailer_id: TRL00171, trailer_number: 8939, trailer_type: Dry Van, length_feet: 53, model_year: 2018, vin: 1CT351938522967514, acquisition_date: 2019-03-03, status: Active, current_location: Omaha
trailer_id: TRL00172, trailer_number: 3236, trailer_type: Refrigerated, length_feet: 53, model_year: 2023, vin: 1BV902473001524043, acquisition_date: 2016-09-06, status: Active, current_location: Charlotte
trailer_id: TRL00173, trailer_number: 4196, trailer_type: Dry Van, length_feet: 53, model_year: 2018, vin: 1CV577163459392907, acquisition_date: 2020-04-14, status: Active, current_location: Seattle
trailer_id: TRL00174, trailer_number: 7290, trailer_type: Dry Van, length_feet: 53, model_year: 2021, vin: 1BU383723215987945, acquisition_date: 2019-09-13, status: Active, current_location: Houston
trailer_id: TRL00175, trailer_number: 9281, trailer_type: Refrigerated, length_feet: 53, model_year: 2022, vin: 1AU862452482023787, acquisition_date: 2021-11-24, status: Active, current_location: Seattle
trailer_id: TRL00176, trailer_number: 9109, trailer_type: Refrigerated, length_feet: 53, model_year: 2015, vin: 1CV758072299883007, acquisition_date: 2018-08-17, status: Active, current_location: Miami
trailer_id: TRL00177, trailer_number: 7703, trailer_type: Dry Van, length_feet: 53, model_year: 2017, vin: 1AT732143483864478, acquisition_date: 2017-04-14, status: Active, current_location: Chicago
trailer_id: TRL00178, trailer_number: 9056, trailer_type: Dry Van, length_feet: 53, model_year: 2019, vin: 1CV418268282418473, acquisition_date: 2020-11-14, status: Active, current_location: Indianapolis
trailer_id: TRL00179, trailer_number: 7809, trailer_type: Refrigerated, length_feet: 53, model_year: 2016, vin: 1BV642386114313485, acquisition_date: 2016-03-02, status: Active, current_location: Houston
trailer_id: TRL00180, trailer_number: 8272, trailer_type: Refrigerated, length_feet: 53, model_year: 2015, vin: 1AU411294884657507, acquisition_date: 2018-12-23, status: Active, current_location: Columbus
